Diferença,Frequência
0,1094422
1,2076070
2,362
3,520
4,1892
5,160
6,2012
7,2262
8,208
9,1770
10,2094
11,4392
12,406
13,1158
14,6060
15,1124
16,4442
17,3114
18,3948
19,4440
20,9022
21,2972
22,5098
23,12344
24,20144
25,30538
26,48750
27,92988
28,205544
29,494920
30,666256
31,350320
32,54228
295,16
296,40
297,2
303,2
305,16
306,32
315,2
316,6
317,2
319,34
321,18
333,6
334,36
337,24
341,2
344,4
345,2
350,28
353,18
363,2
367,24
371,2
374,16
376,2
380,6
381,4
382,30
384,4
387,2
390,16
393,8
394,36
395,136
396,14
399,234
400,176
401,100
402,68
403,60
404,60
405,70
406,158
407,22
409,8
410,54
411,64
412,20
413,66
414,66
415,4
416,46
417,38
419,6
420,20
421,44
422,166
423,50
424,100
425,4
426,150
427,74
428,96
429,8
430,46
431,16
432,6
433,46
434,16
435,134
436,56
437,44
438,32
439,78
440,34
441,58
442,74
443,60
444,60
445,112
446,132
447,106
448,68
449,70
450,16
451,130
452,150
453,74
454,140
455,108
456,144
457,62
458,78
459,58
460,38
461,114
462,82
463,26
464,78
465,178
466,328
467,240
468,298
469,446
470,400
471,492
472,744
473,668
474,760
475,428
476,428
477,496
478,392
479,348
480,782
481,682
482,602
483,684
484,428
485,1018
486,1344
487,1032
488,1040
489,988
490,930
491,1544
492,1756
493,1594
494,2246
495,3040
496,2714
497,3844
498,4126
499,3946
500,4710
501,4706
502,6392
503,5256
504,6698
505,7496
506,7870
507,6730
508,8432
509,8080
510,7190
511,8476
512,9590
513,13346
514,11364
515,12168
516,15370
517,14744
518,18184
519,18566
520,19222
521,23074
522,27532
523,25388
524,25358
525,26966
526,31852
527,30752
528,38158
529,36754
530,41096
531,39176
532,39920
533,47434
534,49558
535,50770
536,52182
537,54850
538,51872
539,48508
540,51198
541,44184
542,46452
543,42580
544,46292
545,87050
546,141042
547,167810
548,85236
549,64780
550,80012
551,76756
552,12798
553,19002
554,37606
555,25782
556,65836
557,3912
558,24720
1062,2
1609,2
2154,2
2682,2
3204,2
3711,2
4226,2
4735,2
5248,2
5757,2
6287,2
6823,2
7352,2
7884,2
8414,2
8948,2
9466,2
9986,2
10512,2
11049,2
11584,2
12117,2
12656,2
13195,2
13732,2
14271,2
14811,2
15355,2
15894,2
16430,2
16973,2
17511,2
18043,2
18576,2
19101,2
19612,2
20124,2
20643,2
21175,2
22225,2
22751,2
23277,2
23806,2
24345,2
24878,2
25407,2
25935,2
26464,2
27010,2
27557,2
28099,2
28635,2
29182,2
29723,2
30270,2
30799,2
31346,2
31893,2
32440,2
32987,2
33532,2
